gpf_type,round,names
treatment,1.0,DEO_ID
treatment,1.0,EntryID
treatment,1.0,01BaselineHouseholdNumber
treatment,1.0,02CensusNoApplicableforControl2andControl3producer
treatment,1.0,03aNameoftheRespondent
treatment,1.0,03bSexFemale1Male2Other3
treatment,1.0,04NameoftheHouseholdHead
treatment,1.0,05Locationnearestlandmark
treatment,1.0,06Para
treatment,1.0,07VillageName
treatment,1.0,08UnionName
treatment,1.0,09ThanaName
treatment,1.0,10DistrictName
treatment,1.0,11HHtype
treatment,1.0,12aInterviewerName
treatment,1.0,12bInterviewerID
treatment,1.0,13aSupervisorName
treatment,1.0,13bSupervisorID
treatment,1.0,14Dateofinterview
treatment,1.0,Occupation_Primary
treatment,1.0,Occupation_Secondary
treatment,1.0,Ageofrespondent
treatment,1.0,Nooffamilymembers
treatment,1.0,AreyouSDVCgroupMember
treatment,1.0,Groupcode
treatment,1.0,MemberCode
treatment,1.0,Whatisyourgroupname
treatment,1.0,Positioningroup
treatment,1.0,Cow1CowID
treatment,1.0,Cow1BreedofCow
treatment,1.0,Cow1TypeofCow
treatment,1.0,Cow1ValueofCow
treatment,1.0,Cow1DailyProductionofcow
treatment,1.0,Cow1Lastcalvingdate
treatment,1.0,Cow1Noofcalving
treatment,1.0,Cow2CowID
treatment,1.0,Cow2BreedofCow
treatment,1.0,Cow2TypeofCow
treatment,1.0,Cow2ValueofCow
treatment,1.0,Cow2DailyProductionofCow
treatment,1.0,Cow2Lastcalvingdate
treatment,1.0,Cow2Noofcalving
treatment,1.0,Cow3CowID
treatment,1.0,Cow3BreedofCow
treatment,1.0,Cow3TypeofCow
treatment,1.0,Cow3ValueofCow
treatment,1.0,Cow3DailyProductionofCow
treatment,1.0,Cow3Lastcalvingdate
treatment,1.0,Cow3Noofcalving
treatment,1.0,Cow4CowID
treatment,1.0,Cow4BreedofCow
treatment,1.0,Cow4TypeofCow
treatment,1.0,Cow4ValueofCow
treatment,1.0,Cow4DailyProductionofCow
treatment,1.0,Cow4Lastcalvingdate
treatment,1.0,Cow4Noofcalving
treatment,1.0,Cow5CowID
treatment,1.0,Cow5BreedofCow
treatment,1.0,Cow5TypeofCow
treatment,1.0,Cow5ValueofCow
treatment,1.0,Cow5DailyProductionofCow
treatment,1.0,Cow5Lastcalvingdate
treatment,1.0,Cow5Noofcalving
treatment,1.0,Cow6CowID
treatment,1.0,Cow6BreedofCow
treatment,1.0,Cow6TypeofCow
treatment,1.0,Cow6ValueofCow
treatment,1.0,Cow6DailyProductionofCow
treatment,1.0,Cow6Lastcalvingdate
treatment,1.0,Cow6Noofcalving
treatment,1.0,Cow7CowID
treatment,1.0,Cow7BreedofCow
treatment,1.0,Cow7TypeofCow
treatment,1.0,Cow7ValueofCow
treatment,1.0,Cow7DailyProductionofCow
treatment,1.0,Cow7Lastcalvingdate
treatment,1.0,Cow7Noofcalving
treatment,1.0,Cow8CowID
treatment,1.0,Cow8BreedofCow
treatment,1.0,Cow8TypeofCow
treatment,1.0,Cow8ValueofCow
treatment,1.0,Cow8DailyProductionofCow
treatment,1.0,Cow8Lastcalvingdate
treatment,1.0,Cow8Noofcalving
treatment,1.0,Cow9CowID
treatment,1.0,Cow9BreedofCow
treatment,1.0,Cow9TypeofCow
treatment,1.0,Cow9ValueofCow
treatment,1.0,Cow9DailyProductionofCow
treatment,1.0,Cow9Lastcalvingdate
treatment,1.0,Cow9Noofcalving
treatment,1.0,Cow10CowID
treatment,1.0,Cow10BreedofCow
treatment,1.0,Cow10TypeofCow
treatment,1.0,Cow10ValueofCow
treatment,1.0,Cow10DailyProductionofCow
treatment,1.0,Cow10Lastcalvingdate
treatment,1.0,Cow10Noofcalving
treatment,1.0,MilkConsumption
treatment,1.0,Freedistribution
treatment,1.0,Salesneighbors
treatment,1.0,SalesDFT
treatment,1.0,Salescollector
treatment,1.0,SalesOpenmarket
treatment,1.0,Salesteastall
treatment,1.0,SalesDirecttocompant
treatment,1.0,Spoilage
treatment,1.0,Totalrecieptfromsales
treatment,1.0,Whoconsumedmilkyesterday1
treatment,1.0,Whoconsumedmilkyesterday2
treatment,1.0,Whoconsumedmilkyesterday3
treatment,1.0,Whoconsumedmilkyesterday4
treatment,1.0,Whoconsumedmilkyesterday5
treatment,1.0,Whowasgivenpriorityofyourfamilytoconsumemilkyesterday
treatment,1.0,Whysshewasgivenprioritytoconsumemilk
treatment,1.0,Areyoucultivatingfodder
treatment,1.0,IfYescultivatedlandDec
treatment,1.0,Whichtypeoffoddercultivating1
treatment,1.0,Whichtypeoffoddercultivating2
treatment,1.0,Whichtypeoffoddercultivating3
treatment,1.0,Whichtypeoffoddercultivating4
treatment,1.0,Doyoufedgreengrasstoyourcow
treatment,1.0,Sourceofgrass1
treatment,1.0,Sourceofgrass2
treatment,1.0,Sourceofgrass3
treatment,1.0,Whoprovidetreatmentservicetoyouranimal
treatment,1.0,WhichTypeofthedoctorsheis1
treatment,1.0,WhichTypeofthedoctorsheis2
treatment,1.0,WhichTypeofthedoctorsheis3
treatment,1.0,Howmanyvaccineshouldbegivenforcattle1
treatment,1.0,Howmanyvaccineshouldbegivenforcattle2
treatment,1.0,Whatarethose
treatment,1.0,Whichvaccines
treatment,1.0,Didyoudewormed
treatment,1.0,Howmanydaysbefore
treatment,1.0,Whosuggestedyou1
treatment,1.0,Whosuggestedyou2
treatment,1.0,WhodecideswhethervaccinationdewormingtreatmentAIisprovidedforcat
treatment,1.0,WhodecideswhethervaccinationdewormingtreatmentAIisprovidedforc_A
treatment,1.0,Whatarethedrinkingwatersourcesforyourcattle1
treatment,1.0,Whatarethedrinkingwatersourcesforyourcattle2
treatment,1.0,Doyouwashyourcattle
treatment,1.0,Ifnowhy
treatment,1.0,Ifyesinwhichinterval
treatment,1.0,Measurementtakenforbiosecurity1
treatment,1.0,Measurementtakenforbiosecurity2
treatment,1.0,Measurementtakenforbiosecurity3
treatment,1.0,Sexofthepersonwhoengagedwithcowrearing
treatment,1.0,Sexofthepersonwhoengagedwithcattlefeedpurchase
treatment,1.0,Sexofthepersonwhoengagedwithmilkselling
treatment,1.0,Whotakesthecattlepurchasedecision1
treatment,1.0,Whotakesthecattlepurchasedecision2
treatment,1.0,Whotakesthecattlesalesdecision1
treatment,1.0,Whotakesthecattlesalesdecision2
treatment,1.0,Whodecideswheretosellmilk
treatment,1.0,Whodecidesfromwheretopurchasefeedfodder1
treatment,1.0,Whodecidesfromwheretopurchasefeedfodder2
treatment,1.0,Whoengagedinmilkingthecow
treatment,1.0,Ifyoudonotengagedinmilkingwhynot
treatment,1.0,Doyouwashyourhandbeforeandaftermilking
treatment,1.0,Ifyeshow
treatment,1.0,Doyouwashyourmilkingpot
treatment,1.0,Ifyeshow_A
treatment,1.0,Doyouwashudderandteatbeforemilking
treatment,1.0,How
treatment,1.0,Doyouuseanythingontheudderandteatduringmilking
treatment,1.0,IfYesWhat1
treatment,1.0,IfYesWhat2
treatment,1.0,Wheredoyoudisposecowdung1
treatment,1.0,Wheredoyoudisposecowdung2
treatment,1.0,Wheredoyoudisposecowdung3
treatment,1.0,Whatdoyoudowithcowdung1
treatment,1.0,Whatdoyoudowithcowdung2
treatment,1.0,Whatdoyoudowithcowdung3
treatment,1.0,Whatdoyoudowithcowdung4
treatment,1.0,Whatdoyoudowithcowdung5
treatment,1.0,Incomefromcowdungsoldduringlast3months
treatment,1.0,Whattypesofcattlefeedsare
treatment,1.0,Whichtypeoffeedincreasethemilkfat
treatment,1.0,Mentionthenameoffewhybridfodder
treatment,1.0,Mentionthenameoffewconcentratefeed
treatment,1.0,Whatshouldbetheconditionofcowshed
treatment,1.0,Whichtypeofcattleshouldvaccinate
treatment,1.0,Whatarethesymptomsofwormaffectedcattle
treatment,1.0,Inwhichintervaldewormingshouldbedone
treatment,1.0,AfterheatdetectionwhichisthebesttimeforAI
treatment,1.0,WhataretheadvantagesofAI
treatment,1.0,TotalKnowledgeScore
treatment,1.0,Properventilationsystemisavailableincowshedornot
treatment,1.0,Cleanlinessofthefloorofcowshed
treatment,1.0,Isthereanypropersloppingofthefloortothedrainornot
treatment,1.0,Isthereanydisposalplaceforcowdungornot
treatment,1.0,Cleanlinessofthemilkingplace
treatment,1.0,TotalPracticeScore
treatment,1.0,Doyouownedanycattle
treatment,1.0,DidyougetownershipofcowafterjoiningSDVC
treatment,1.0,DidyouinheritanycattlecowfromFatherHusbandOthers1
treatment,1.0,DidyouinheritanycattlecowfromFatherHusbandOthers2
treatment,1.0,Haveanyincomefromthosecattleduringlast3months
treatment,1.0,Doyouhaveanyotherincomeduringlast3months
treatment,1.0,Whotakedecisionforuseyourownincome1
treatment,1.0,Whotakedecisionforuseyourownincome2
treatment,1.0,Whotakedecisionforusethemilksalesincome1
treatment,1.0,Whotakedecisionforusethemilksalesincome2
treatment,1.0,Haveanyassetsbeenpurchasedwithmoneyyouhaveearnedduringlastmonths
treatment,1.0,Ifyesputinformationinthefollowingtable
treatment,1.0,Asset1Name
treatment,1.0,Asset1Whomadedecisiontobuythisassets1
treatment,1.0,Asset1Whomadedecisiontobuythisassets2
treatment,1.0,Asset1Whocontrolthisasset1
treatment,1.0,Asset1Whocontrolthisasset2
treatment,1.0,Asset2Name
treatment,1.0,Asset2Whomadedecisiontobuythisassets
treatment,1.0,Asset2Whocontrolthisasset
treatment,1.0,Asset3Name
treatment,1.0,Asset3Whomadedecisiontobuythisassets
treatment,1.0,Asset3Whocontrolthisasset
treatment,1.0,Asset4Name
treatment,1.0,Asset4Whomadedecisiontobuythisassets
treatment,1.0,Asset4Whocontrolthisasset
treatment,1.0,Asset5Name
treatment,1.0,Asset5Whomadedecisiontobuythisassets
treatment,1.0,Asset5Whocontrolthisasset
treatment,1.0,Doyouhavetotakepermissiontoattendedgroupmeeting
treatment,1.0,Ifyesfromwhom1
treatment,1.0,Ifyesfromwhom2
treatment,1.0,Ifyesfromwhom3
treatment,1.0,Doyouhavetotakepermissiontoattendedmeetingatdistantplace
treatment,1.0,Ifyesfromwhom1_A
treatment,1.0,Ifyesfromwhom2_A
treatment,1.0,Ifyesfromwhom3_A
treatment,1.0,Doyouhavetotakepermissiontotravelatadistantplaceingeneralliketov
treatment,1.0,Ifyesfromwhom1_B
treatment,1.0,Ifyesfromwhom2_B
treatment,1.0,Ifyesfromwhom3_B
treatment,1.0,DoyourhusbandhelpyouinyourdaytodayHHactivities
treatment,1.0,CattleFeeding
treatment,1.0,Cattlewash
treatment,1.0,Milking
treatment,1.0,GrassCollection
treatment,1.0,Childteaching
treatment,1.0,FeedtheChildren
treatment,1.0,Washchildern
treatment,1.0,Cooking
treatment,1.0,Homearrangement
treatment,1.0,Housecleaning
treatment,1.0,Others
treatment,1.0,Doyoufaceanyobstructionfromyourfamily
treatment,1.0,Ifyesinwhichcaseobstaclesapplier
treatment,1.0,Assetpurchaseofyourown1
treatment,1.0,Assetpurchaseofyourown2
treatment,1.0,Assetpurchaseofyourown3
treatment,1.0,IncomeGeneratingActivitiesatHome1
treatment,1.0,IncomeGeneratingActivitiesatHome2
treatment,1.0,IncomeGeneratingActivitiesatHome3
treatment,1.0,IncomeGeneratingActivitiesoutsideofHome1
treatment,1.0,IncomeGeneratingActivitiesoutsideofHome2
treatment,1.0,IncomeGeneratingActivitiesoutsideofHome3
treatment,1.0,Ownassetsales1
treatment,1.0,Ownassetsales2
treatment,1.0,Ownassetsales3
treatment,1.0,Spendownincome1
treatment,1.0,Spendownincome2
treatment,1.0,Attendmeetingtrainingatdistantplace1
treatment,1.0,Attendmeetingtrainingatdistantplace2
treatment,1.0,RiceBran_Amount
treatment,1.0,RiceBran_Unit
treatment,1.0,RiceBran_Source1
treatment,1.0,RiceBran_Source2
treatment,1.0,RiceBran_Taka
treatment,1.0,WheatBran_Amount
treatment,1.0,WheatBran_Unit
treatment,1.0,WheatBran_Source
