round,team_name,group_name,group_type,group_code,village,union,union_code,upazila,upazila_code,district,district_code,ward,female_producers_involved,male_producers_involved,female_producers_present,male_producers_present,female_producers_dropout,male_producers_dropout,evaluation_date,facilitator,development_plan,rules_regulation,leadership_process,learning_sharing_space,services,cow_shed_mgmt,feed_mgmt,health_mgmt,breed_dvmt,milk_mgmt,milk_marketing,info_mgmt,gender_equity,total
1.0,Shahjadpur,Chaksha Uttarpara,2.0,88942109011.0,Chaksha,Boropangashi,NA,Ullahpara,NA,Sirajganj,NA,NA,30.0,1.0,30.0,1.0,0.0,0.0,41795.000000,R. Khatoon,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0
1.0,Shahjadpur,Charbordongasa doskhinpara,2.0,88944309023.0,Charbordongasa,Mohonpur,NA,Ullahpara,NA,Sirajganj,NA,NA,35.0,1.0,26.0,1.0,0.0,0.0,41856.000000,R. Khatoon,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0
1.0,Shahjadpur,Chaksha more para,2.0,88944309031.0,Chaksha,Boropangashi,NA,Ullahpara,NA,Sirajganj,NA,NA,31.0,0.0,30.0,0.0,0.0,0.0,41948.000000,R. Khatoon,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,29.0
1.0,Shahjadpur,Charbordongasa Modhopara,2.0,88944309021.0,Charbordongasa,Mohonpur,NA,Ullahpara,NA,Sirajganj,NA,NA,29.0,2.0,26.0,2.0,0.0,0.0,14/05/2014,R. Khatoon,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,19.0
1.0,Shahjadpur,Charbordongasa Mondol para,2.0,88944309011.0,Charbordongasa,Mohonpur,NA,Ullahpara,NA,Sirajganj,NA,NA,35.0,1.0,35.0,1.0,0.0,0.0,15/05/2014,R. Khatoon,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,20.0
1.0,Shahjadpur,Koibortogati modhopara,2.0,88944302012.0,Koibortogati,Mohonpur,NA,Ullahpara,NA,Sirajganj,NA,NA,30.0,0.0,26.0,0.0,0.0,0.0,41825.000000,R. Abbace,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0
1.0,Shahjadpur,Koibortogati Uttarpara,2.0,88944302013.0,Koibortogati,Mohonpur,NA,Ullahpara,NA,Sirajganj,NA,NA,30.0,1.0,30.0,1.0,0.0,0.0,41978.000000,R. Abbace,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,18.0
1.0,Shahjadpur,Koibortogati Hajipara,2.0,88944302015.0,Koibortogati,Mohonpur,NA,Ullahpara,NA,Sirajganj,NA,NA,28.0,1.0,28.0,1.0,0.0,0.0,18/05/2014,R. Abbace,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0
1.0,Shahjadpur,Amosh Poschimpara 1,2.0,76727504014.0,Amosh,Santhiya Purosova,NA,Santhiya,NA,Pabna,NA,NA,28.0,2.0,28.0,2.0,0.0,0.0,41795.000000,"Sohel, FF",2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,27.0
1.0,Shahjadpur,Amosh Poschimpara 2,2.0,76727504015.0,Amosh,Santhiya Purosova,NA,Santhiya,NA,Pabna,NA,NA,31.0,1.0,31.0,1.0,0.0,0.0,41825.000000,"Sohel, FF",2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,23.0
