ppt_type,round,names
ppt1,1.0,Team
ppt1,1.0,Group Name
ppt1,1.0,Village
ppt1,1.0, Union  
ppt1,1.0, Upazilla  
ppt1,1.0, District 
ppt1,1.0,# of Producers involve in the group
ppt1,1.0,Man       
ppt1,1.0,Women 
ppt1,1.0,# of Producers present at the session
ppt1,1.0,Men       
ppt1,1.0,Women 
ppt1,1.0,# of drop out since last session
ppt1,1.0,Men       
ppt1,1.0,Women 
ppt1,1.0,Name & designation of Facilitator
ppt1,1.0,Date
ppt1,1.0,Old Group ID
ppt1,1.0,New Group ID
ppt1,1.0,"Producer Type (SDVC I&II=1, SDVC II=2)"
ppt1,1.0,Sl
ppt1,1.0,Producer Name
ppt1,1.0,Producer ID
ppt1,1.0,Sex (Women=1/Man=2)
ppt1,1.0,Spouse/Guardian Name 
ppt1,1.0,Group Leader (Yes=1/No=0)
ppt1,1.0,Clean cow shed and maintain disposal system regularly (cow dung & others)
ppt1,1.0,"Proper ventilation , lights with sufficient security measurement available ( Window, sifficient light & air, net, smoke, finish liquid, coil  etc)"
ppt1,1.0,Produces Hybrid grass
ppt1,1.0,Collected grass are ensured proper cleanliness during feeding
ppt1,1.0,HH feeds at least any Bran and Oil cake
ppt1,1.0,HH feeds their cattle any brand ready feed ( Ready Feed)
ppt1,1.0,"HH feeds any type Vitamin mineral premix (DCP, DB mix, liquid)"
ppt1,1.0,HH regularly De-worm their all cattle except sick and pregnant cattle
ppt1,1.0,HH  vaccinate their all cattle regularly except sick and pregnant cattle With given priority on Anthrax and FMD 
ppt1,1.0,"Regular take suggestion / Treatment /check-up to the cattle health from the recommended Surgeon/paravate, LHW,etc "
ppt1,1.0,HH taking  AI services for high breed/high milk production during this period
ppt1,1.0,# of total of cow
ppt1,1.0,Total milk volume (Yesterday) (in ltr.)
ppt1,1.0,Increased volume of milk compare to before ( consider last 4 month)
ppt1,1.0,"HH knows the proper/recommended milking system (cleanliness of place, udder, teat and milking pot & complete milking practice)"
ppt1,1.0,Feeds the cow just after milking
ppt1,1.0,Using market information for decision making
ppt1,1.0,HH presently selling milk to DFT collection point
ppt1,1.0,"I am satisfied with overall DFT servise (payment, delivery, domentation etc)"
ppt1,1.0,"Keeping record on individual milk production, sales and production cost "
ppt1,1.0,I involve with group saving (weekly/monthly)
ppt1,1.0,Taking loan from group saving/ others FI's easily for dairy purpose
ppt1,1.0,"Frequintly communicate to input shops(KU) to purchase feed ,medicine and other services"
ppt1,1.0,I am satisfied with overall Krishi Utsho (KU) servises
